domain	partner_domain	occurrences
PF00534	PF08323	26
PF00133	PF13603	26
PF08323	PF00534	26
PF02212	PF01031	26
PF07714	PF00018	26
PF00958	PF02540	26
PF00400	PF10433	26
PF02540	PF00958	26
PF00018	PF07714	26
PF13603	PF00133	26
PF05193	PF08367	26
PF04560	PF04539	26
PF01031	PF02212	26
PF00667	PF00258	26
PF10433	PF00400	26
PF00383	PF08211	26
PF00169	PF00621	26
PF02419	PF00421	26
PF08211	PF00383	26
PF00258	PF00667	26
PF04997	PF04545	26
PF02374	PF04420	26
PF00562	PF04539	26
PF00562	PF04545	26
PF00388	PF09279	26
PF11940	PF01433	26
PF04563	PF04539	26
PF01012	PF00766	26
PF00031	PF00112	26
PF09279	PF00388	26
PF00306	PF01813	26
PF01813	PF00306	26
PF00766	PF01012	26
PF08825	PF10585	26
PF01858	PF01857	26
PF10585	PF08825	26
PF04545	PF04997	26
PF04545	PF00562	26
PF01857	PF01858	26
PF04420	PF02374	26
PF01433	PF11940	26
PF08367	PF05193	26
PF02167	PF10399	26
PF04539	PF00562	26
PF04539	PF04560	26
PF04539	PF04563	26
PF00867	PF00752	27
PF12796	PF00023	27
PF04433	PF01593	27
PF00240	PF00179	27
PF00240	PF00899	27
PF01477	PF00882	27
PF04627	PF02823	27
PF01426	PF00145	27
PF00023	PF12796	27
PF00179	PF00240	27
PF03931	PF01847	27
PF00534	PF00862	27
PF01055	PF00088	27
PF00924	PF05552	27
PF00889	PF03143	27
PF03464	PF03465	27
PF00387	PF09279	27
PF10409	PF00782	27
PF02532	PF00124	27
PF14520	PF01330	27
PF02826	PF11890	27
PF00782	PF10409	27
PF00024	PF14295	27
PF03484	PF03483	27
PF02823	PF04627	27
PF00034	PF00141	27
PF00862	PF00534	27
PF00752	PF00867	27
PF03483	PF03484	27
PF00551	PF02911	27
PF09279	PF00387	27
PF00899	PF00240	27
PF00141	PF00034	27
PF03465	PF03464	27
PF00124	PF02532	27
PF00145	PF01426	27
PF01593	PF04433	27
PF02911	PF00551	27
PF03143	PF00889	27
PF02114	PF00400	28
PF14700	PF00940	28
PF00082	PF00280	28
PF05739	PF00835	28
PF02629	PF08442	28
PF00240	PF10585	28
PF00240	PF00443	28
PF00443	PF00240	28
PF00380	PF00253	28
PF06574	PF01687	28
PF00156	PF13793	28
PF00253	PF00380	28
PF02518	PF00204	28
PF00591	PF07831	28
PF13793	PF00156	28
PF00940	PF14700	28
PF09273	PF00856	28
PF01687	PF06574	28
PF00400	PF02114	28
PF00928	PF01217	28
PF00149	PF08321	28
PF08442	PF02629	28
PF08321	PF00149	28
PF00280	PF00082	28
PF00116	PF09125	28
PF00856	PF09273	28
PF01217	PF00928	28
PF02765	PF07404	28
PF10585	PF00240	28
PF01127	PF05328	28
PF00204	PF02518	28
PF01509	PF01472	29
PF01058	PF00037	29
PF12169	PF13177	29
PF00444	PF00252	29
PF13177	PF12169	29
PF00387	PF00388	29
PF00408	PF02878	29
PF01472	PF01509	29
PF01043	PF07517	29
PF00149	PF14008	29
PF14008	PF00149	29
PF07517	PF01043	29
PF00571	PF00478	29
PF01011	PF13360	29
PF00388	PF00387	29
PF00037	PF01058	29
PF01663	PF01223	29
PF09279	PF00168	29
PF00252	PF00444	29
PF00478	PF00571	29
PF12799	PF08191	29
PF02878	PF00408	29
PF00168	PF09279	29
PF13360	PF01011	29
PF00082	PF01483	30
PF00240	PF03931	30
PF00560	PF13855	30
PF07676	PF00930	30
PF00454	PF00400	30
PF14693	PF00298	30
PF03931	PF00240	30
PF00930	PF07676	30
PF01276	PF03711	30
PF00400	PF00454	30
PF13855	PF00560	30
PF00298	PF14693	30
PF00571	PF03448	30
PF02874	PF09378	30
PF02110	PF02581	30
PF02581	PF02110	30
PF03711	PF01276	30
PF13534	PF05328	30
PF06470	PF02463	31
PF00283	PF00124	31
PF00890	PF13183	31
PF00890	PF14537	31
PF03919	PF01331	31
PF01331	PF03919	31
PF02463	PF06470	31
PF00228	PF00089	31
PF01138	PF12111	31
PF02518	PF05833	31
PF00400	PF12265	31
PF13855	PF12799	31
PF03484	PF01409	31
PF02493	PF00856	31
PF11969	PF05652	31
PF00149	PF02872	31
PF01409	PF03484	31
PF13393	PF01634	31
PF00514	PF01049	31
PF01634	PF13393	31
PF00856	PF02493	31
PF00127	PF06433	31
PF00127	PF02975	31
PF13085	PF13183	31
PF00124	PF00283	31
PF12799	PF13855	31
PF12265	PF00400	31
PF05833	PF02518	31
PF00059	PF08391	31
PF10590	PF01243	32
PF00510	PF00116	32
PF00380	PF00400	32
PF13499	PF08763	32
PF00156	PF00310	32
PF05151	PF01405	32
PF02359	PF00004	32
PF00310	PF00156	32
PF01243	PF10590	32
PF10588	PF00037	32
PF00400	PF00380	32
PF14310	PF01915	32
PF14310	PF00933	32
PF03725	PF03726	32
PF03726	PF03725	32
PF02727	PF07833	32
PF10433	PF03178	32
PF00116	PF00510	32
PF00587	PF02403	32
PF00037	PF11497	32
PF00037	PF00346	32
PF00037	PF10588	32
PF00037	PF01077	32
PF00004	PF02359	32
PF02403	PF00587	32
PF01179	PF07833	32
PF03178	PF10433	32
PF01077	PF00037	32
PF01405	PF05151	32
PF00933	PF14310	32
PF00346	PF00037	32
PF01915	PF14310	32
PF01509	PF08068	33
PF05368	PF00320	33
PF04627	PF00231	33
PF13833	PF00036	33
PF00355	PF02167	33
PF00503	PF00400	33
PF08068	PF01509	33
PF00115	PF09125	33
PF00400	PF00503	33
PF00400	PF11764	33
PF00730	PF07934	33
PF00320	PF05368	33
PF00413	PF00040	33
PF03144	PF09173	33
PF00231	PF04627	33
PF07934	PF00730	33
PF00036	PF13833	33
PF02167	PF00355	33
PF09173	PF03144	33
PF13361	PF00580	34
PF01872	PF00383	34
PF00115	PF08113	34
PF00092	PF05587	34
PF00580	PF13361	34
PF00383	PF01872	34
PF00116	PF08113	34
PF00439	PF06001	34
PF11838	PF01433	34
PF01433	PF11838	34
PF07516	PF01043	35
PF02338	PF00240	35
PF00240	PF02338	35
PF13499	PF13405	35
PF03447	PF00742	35
PF00387	PF00168	35
PF00227	PF10431	35
PF00742	PF03447	35
PF00018	PF00017	35
PF01043	PF07516	35
PF00514	PF08347	35
PF04542	PF04539	35
PF04542	PF00140	35
PF10431	PF00227	35
PF13405	PF13499	35
PF02502	PF12408	35
PF00168	PF00387	35
PF04539	PF04542	35
PF01509	PF04135	36
PF02798	PF14497	36
PF00011	PF00525	36
PF14497	PF02798	36
PF04135	PF01509	36
PF00384	PF05738	36
PF00128	PF11896	36
PF00397	PF00639	36
PF13410	PF13409	36
PF00665	PF11467	36
PF08267	PF01717	36
PF00639	PF00397	36
PF02823	PF00231	36
PF00009	PF09173	36
PF00022	PF05856	36
PF00231	PF02823	36
PF01717	PF08267	36
PF05856	PF00022	36
PF13409	PF13410	36
PF00041	PF09067	36
PF00160	PF00607	36
PF00595	PF10608	36
PF00595	PF10600	36
PF09173	PF00009	36
PF03033	PF06722	37
PF00253	PF00189	37
PF08423	PF14520	37
PF00704	PF08329	37
PF01602	PF00928	37
PF00400	PF03178	37
PF00928	PF01602	37
PF14520	PF08423	37
PF00189	PF00253	37
PF00899	PF10585	37
PF03178	PF00400	37
PF10585	PF00899	37
PF07516	PF07517	38
PF01113	PF05173	38
PF01210	PF07479	38
PF00675	PF02271	38
PF00400	PF05856	38
PF00005	PF00528	38
PF05173	PF01113	38
PF02271	PF00675	38
PF07479	PF01210	38
PF13570	PF13360	38
PF07517	PF07516	38
PF05856	PF00400	38
PF13360	PF13570	38
PF09336	PF00004	39
PF02686	PF02934	39
PF00071	PF00621	39
PF02934	PF02686	39
PF02778	PF01974	39
PF00188	PF08562	39
PF01974	PF02778	39
PF00004	PF01434	39
PF00004	PF09336	39
PF01434	PF00004	39
PF14691	PF14697	40
PF14691	PF01180	40
PF02817	PF02852	40
PF00006	PF07497	40
PF13499	PF00069	40
PF13442	PF02239	40
PF03764	PF09009	40
PF02775	PF01855	40
PF02221	PF13855	40
PF00069	PF13499	40
PF00733	PF13537	40
PF01180	PF14691	40
PF00400	PF01092	40
PF13855	PF02221	40
PF13537	PF00733	40
PF00988	PF00117	40
PF00988	PF02787	40
PF00988	PF02786	40
PF00626	PF00022	40
PF00117	PF02787	40
PF00117	PF02786	40
PF00117	PF00988	40
PF00022	PF00626	40
PF02852	PF02817	40
PF00373	PF02174	40
PF01092	PF00400	40
PF01321	PF00557	40
PF00124	PF02276	40
PF00289	PF02787	40
PF00557	PF01321	40
PF02786	PF02787	40
PF02786	PF00988	40
PF02786	PF00117	40
PF14697	PF14691	40
PF02787	PF00117	40
PF02787	PF00988	40
PF02787	PF02786	40
PF02787	PF00289	40
PF13499	PF00612	41
PF13499	PF13202	41
PF04561	PF10385	41
PF01751	PF00986	41
PF04998	PF10385	41
PF00612	PF13499	41
PF00986	PF01751	41
PF00037	PF11953	41
PF13202	PF13499	41
PF00128	PF11941	42
PF02686	PF01425	42
PF01131	PF01751	42
PF01798	PF08060	42
PF01751	PF01131	42
PF01590	PF08446	42
PF01000	PF04983	42
PF08446	PF01590	42
PF01425	PF02686	42
PF00476	PF09281	42
PF04983	PF01000	42
PF00497	PF00060	42
PF00060	PF00497	42
PF07991	PF01450	43
PF00283	PF01788	43
PF01450	PF07991	43
PF01788	PF00283	43
PF03454	PF00994	43
PF00994	PF03454	43
PF00730	PF06029	43
PF00041	PF09240	43
PF01070	PF00173	44
PF07521	PF10996	44
PF00173	PF01070	44
PF13869	PF14259	44
PF01788	PF00124	44
PF05151	PF00124	44
PF00133	PF08264	44
PF00132	PF12464	44
PF00326	PF02897	44
PF13344	PF13242	44
PF13855	PF11921	44
PF10996	PF07521	44
PF01728	PF00972	44
PF13242	PF13344	44
PF00124	PF01788	44
PF00124	PF05151	44
PF02897	PF00326	44
PF08264	PF00133	44
PF00421	PF06514	45
PF00421	PF01405	45
PF14306	PF01747	45
PF01764	PF03893	45
PF01276	PF03709	45
PF07714	PF14575	45
PF08245	PF01225	45
PF01031	PF00350	45
PF01747	PF14306	45
PF00034	PF03150	45
PF03893	PF01764	45
PF00350	PF01031	45
PF01225	PF08245	45
PF01405	PF00421	45
PF01193	PF00623	46
PF05192	PF01624	46
PF02419	PF00124	46
PF00623	PF01193	46
PF00124	PF01716	46
PF00124	PF02419	46
PF00124	PF01405	46
PF01405	PF00124	46
PF01716	PF00124	46
PF01624	PF05192	46
PF01267	PF01115	47
PF00696	PF04768	47
PF05000	PF10385	47
PF01115	PF01267	47
PF00018	PF00435	47
PF00163	PF00189	47
PF04997	PF00140	47
PF00189	PF00163	47
PF00899	PF08825	47
PF08825	PF00899	47
PF02798	PF13410	48
PF02518	PF10436	48
PF13410	PF02798	48
PF05190	PF05192	48
PF05192	PF05190	48
PF00284	PF00124	48
PF04997	PF04539	48
PF04997	PF04542	48
PF02780	PF00456	48
PF00571	PF04739	48
PF10436	PF02518	48
PF04542	PF04997	48
PF04739	PF00571	48
PF00124	PF00284	48
PF01909	PF09249	48
PF10585	PF02134	48
PF10531	PF02563	48
PF00456	PF02780	48
PF04539	PF04997	48
PF03572	PF14684	49
PF13414	PF00515	49
PF00515	PF13414	49
PF00644	PF02877	49
PF00675	PF02939	49
PF02877	PF00644	49
PF00175	PF00667	50
PF03404	PF00174	50
PF07714	PF00017	50
PF05188	PF01624	50
PF00174	PF03404	50
PF01590	PF00360	50
PF00667	PF00175	50
PF01011	PF02315	50
PF00514	PF08911	50
PF00360	PF01590	50
PF08911	PF00514	50
PF01624	PF05188	50
PF02880	PF00408	51
PF09379	PF09380	51
PF00510	PF02297	51
PF00510	PF02238	51
PF00510	PF02935	51
PF00510	PF01215	51
PF04566	PF04563	51
PF02359	PF02933	51
PF00408	PF02880	51
PF02297	PF02046	51
PF02297	PF00510	51
PF02297	PF00115	51
PF02297	PF00116	51
PF00115	PF02238	51
PF00115	PF02285	51
PF00115	PF02297	51
PF00115	PF02935	51
PF00115	PF01215	51
PF00115	PF02937	51
PF00115	PF02936	51
PF00115	PF05392	51
PF02933	PF02359	51
PF00032	PF02167	51
PF01215	PF00510	51
PF01215	PF00115	51
PF01215	PF02238	51
PF01215	PF02936	51
PF09127	PF01433	51
PF02238	PF00510	51
PF02238	PF00115	51
PF02238	PF02935	51
PF02238	PF01215	51
PF00116	PF02297	51
PF00116	PF02937	51
PF00116	PF02936	51
PF00116	PF05392	51
PF04563	PF04566	51
PF02790	PF02284	51
PF02790	PF02937	51
PF02790	PF02936	51
PF02790	PF05392	51
PF01433	PF09127	51
PF02167	PF00032	51
PF02880	PF02879	52
PF00652	PF00161	52
PF02934	PF01425	52
PF04565	PF10385	52
PF05192	PF00488	52
PF05192	PF05188	52
PF01602	PF01217	52
PF05188	PF05192	52
PF00400	PF13472	52
PF01425	PF02934	52
PF13472	PF00400	52
PF00161	PF00652	52
PF01217	PF01602	52
PF00488	PF05192	52
PF02879	PF02880	52
PF02880	PF02878	53
PF00891	PF08100	53
PF00032	PF02939	53
PF02271	PF02939	53
PF01215	PF02284	53
PF08100	PF00891	53
PF02320	PF02939	53
PF00206	PF10397	53
PF02921	PF02939	53
PF01663	PF01033	53
PF02878	PF02880	53
PF02167	PF02939	53
PF00890	PF01127	54
PF05184	PF03489	54
PF04263	PF04265	54
PF04265	PF04263	54
PF13452	PF01575	54
PF00675	PF02921	54
PF05193	PF02939	54
PF02781	PF00479	54
PF01575	PF13452	54
PF01370	PF13950	54
PF02921	PF00675	54
PF02921	PF02167	54
PF03489	PF05184	54
PF00373	PF09380	54
PF00479	PF02781	54
PF01127	PF00890	54
PF02167	PF02921	54
PF02882	PF00763	55
PF00763	PF02882	55
PF00032	PF02271	55
PF05193	PF02921	55
PF02271	PF13631	55
PF02271	PF02167	55
PF02271	PF00032	55
PF02320	PF02167	55
PF02921	PF13631	55
PF02921	PF05365	55
PF02921	PF05193	55
PF01841	PF00868	55
PF02167	PF02320	55
PF02167	PF05365	55
PF02167	PF02271	55
PF05365	PF02921	55
PF05365	PF02167	55
PF08669	PF01571	56
PF00020	PF00229	56
PF01571	PF08669	56
PF03450	PF00111	56
PF00111	PF03450	56
PF00291	PF00290	57
PF10275	PF00179	57
PF00179	PF10275	57
PF00549	PF08442	57
PF00290	PF00291	57
PF08442	PF00549	57
PF00890	PF13534	58
PF06179	PF10280	58
PF00449	PF00699	58
PF10280	PF06179	58
PF00547	PF00699	58
PF13085	PF13534	58
PF12327	PF00091	58
PF00091	PF12327	58
PF13534	PF13085	58
PF13534	PF00890	58
PF00699	PF00547	58
PF00699	PF00449	58
PF01192	PF03876	59
PF04560	PF03876	59
PF03876	PF00623	59
PF03876	PF01192	59
PF03876	PF04560	59
PF00986	PF00521	59
PF00623	PF03876	59
PF00521	PF00986	59
PF12796	PF13637	60
PF00384	PF13247	60
PF01227	PF06399	60
PF13793	PF14572	60
PF00227	PF07724	60
PF05188	PF00488	60
PF01192	PF04983	60
PF14572	PF13793	60
PF04983	PF01192	60
PF00753	PF10996	60
PF13637	PF12796	60
PF10996	PF00753	60
PF07724	PF00227	60
PF00488	PF05188	60
PF00421	PF01716	61
PF01749	PF00514	61
PF03807	PF14748	61
PF14748	PF03807	61
PF00514	PF01749	61
PF01716	PF00421	61
PF12110	PF00400	62
PF00400	PF12110	62
PF00005	PF14396	62
PF00004	PF10431	62
PF10431	PF00004	62
PF00170	PF00261	62
PF13439	PF00534	63
PF00686	PF01833	63
PF00686	PF00128	63
PF00128	PF00686	63
PF00128	PF01833	63
PF00355	PF13631	63
PF02806	PF01833	63
PF00534	PF13439	63
PF13855	PF01462	63
PF08031	PF01565	63
PF14845	PF00728	63
PF01565	PF08031	63
PF01833	PF00686	63
PF01833	PF00128	63
PF01833	PF02806	63
PF00252	PF01016	63
PF01016	PF00252	63
PF00728	PF14845	63
PF00331	PF00652	64
PF05739	PF00957	64
PF00652	PF00331	64
PF00510	PF00115	64
PF00393	PF03446	64
PF00115	PF00510	64
PF03446	PF00393	64
PF14492	PF03144	64
PF00957	PF05739	64
PF03144	PF14492	64
PF00141	PF11895	64
PF09379	PF00373	65
PF13499	PF00063	65
PF00454	PF00792	65
PF00792	PF00454	65
PF00373	PF09379	65
PF00063	PF13499	65
PF02878	PF02879	65
PF02879	PF02878	65
PF00628	PF00439	66
PF09261	PF07748	66
PF07994	PF01658	66
PF07748	PF09261	66
PF01658	PF07994	66
PF00439	PF00628	66
PF00406	PF05191	66
PF05191	PF00406	66
PF07498	PF07497	67
PF03764	PF14492	67
PF14492	PF03764	67
PF01373	PF00686	68
PF00696	PF13840	68
PF00686	PF01373	68
PF02225	PF04389	68
PF04389	PF02225	68
PF13840	PF00696	68
PF09261	PF01074	69
PF06831	PF06827	69
PF03874	PF00575	69
PF00575	PF03874	69
PF06827	PF06831	69
PF01074	PF09261	69
PF00384	PF04879	70
PF00935	PF00828	70
PF02875	PF08245	70
PF07748	PF01074	70
PF08245	PF02875	70
PF00828	PF00935	70
PF01074	PF07748	70
PF13085	PF01127	70
PF01127	PF13085	70
PF03931	PF01466	71
PF00833	PF00400	71
PF01084	PF01165	71
PF03936	PF01397	71
PF01397	PF03936	71
PF00400	PF00833	71
PF03874	PF03876	71
PF03876	PF00575	71
PF03876	PF03874	71
PF00575	PF03876	71
PF01165	PF01084	71
PF01466	PF03931	71
PF00595	PF00089	71
PF01808	PF02142	72
PF05000	PF04990	72
PF02225	PF04253	72
PF02142	PF01808	72
PF00704	PF02839	72
PF01751	PF00521	72
PF03171	PF14226	72
PF04990	PF05000	72
PF00521	PF01751	72
PF05033	PF00856	72
PF00856	PF05033	72
PF14226	PF03171	72
PF04253	PF02225	72
PF00933	PF01915	72
PF01915	PF00933	72
PF02867	PF03477	73
PF02837	PF02929	73
PF00573	PF01907	73
PF14492	PF00009	73
PF00009	PF14492	73
PF03477	PF02867	73
PF02929	PF02837	73
PF00027	PF00325	73
PF01907	PF00573	73
PF01138	PF03726	74
PF00411	PF01165	74
PF00676	PF02780	74
PF14492	PF00679	74
PF00679	PF14492	74
PF03726	PF01138	74
PF02780	PF00676	74
PF01165	PF00411	74
PF01477	PF00305	75
PF00355	PF00032	75
PF00032	PF00355	75
PF00305	PF01477	75
PF01839	PF00362	75
PF14438	PF14894	76
PF00253	PF00203	76
PF00449	PF01979	76
PF00732	PF05199	76
PF00024	PF00051	76
PF00203	PF00253	76
PF01157	PF00861	76
PF01979	PF00449	76
PF05199	PF00732	76
PF01841	PF00927	76
PF00861	PF01157	76
PF00091	PF00836	76
PF03441	PF00875	77
PF01048	PF10423	77
PF00689	PF00702	77
PF00185	PF02748	77
PF03450	PF01799	77
PF01799	PF03450	77
PF00875	PF03441	77
PF00702	PF00689	77
PF00116	PF02790	77
PF02790	PF00116	77
PF02373	PF02375	78
PF08244	PF00251	78
PF03453	PF00994	78
PF00115	PF02790	78
PF02375	PF02373	78
PF00994	PF03453	78
PF00682	PF02436	78
PF05195	PF00557	78
PF00251	PF08244	78
PF02790	PF00115	78
PF00557	PF05195	78
PF00128	PF02922	79
PF00935	PF00827	79
PF03453	PF03454	79
PF03454	PF03453	79
PF02861	PF05389	79
PF01248	PF00827	79
PF00827	PF01248	79
PF00827	PF00935	79
PF00036	PF01023	79
PF02922	PF00128	79
PF02773	PF02772	80
PF02142	PF02786	80
PF00665	PF02022	80
PF00438	PF02772	80
PF00861	PF01016	80
PF02772	PF02773	80
PF02772	PF00438	80
PF01016	PF00861	80
PF12799	PF00028	80
PF01127	PF13534	80
PF13534	PF01127	80
PF02786	PF02142	80
PF01246	PF00297	81
PF00297	PF01246	81
PF00276	PF00832	81
PF02167	PF13631	81
PF00832	PF00276	81
PF06831	PF01149	82
PF03947	PF01780	82
PF00181	PF01780	82
PF01149	PF06831	82
PF01780	PF00181	82
PF01780	PF03947	82
PF00832	PF01907	82
PF01907	PF00832	82
PF02670	PF13288	83
PF02670	PF08436	83
PF04992	PF03870	83
PF03870	PF04992	83
PF10431	PF07724	83
PF08436	PF02670	83
PF13288	PF02670	83
PF07724	PF10431	83
PF00664	PF00005	84
PF00675	PF09165	84
PF04389	PF04253	84
PF00005	PF00664	84
PF00317	PF03477	84
PF13840	PF01842	84
PF03477	PF00317	84
PF00861	PF00673	84
PF04253	PF04389	84
PF01842	PF13840	84
PF00673	PF00861	84
PF03099	PF02237	85
PF02237	PF03099	85
PF05193	PF09165	85
PF00753	PF00258	85
PF00258	PF00753	85
PF00899	PF02134	85
PF00183	PF13589	87
PF13589	PF00183	87
PF00122	PF00690	87
PF00690	PF00122	87
PF03764	PF00679	88
PF00069	PF06479	88
PF04561	PF04990	88
PF06479	PF00069	88
PF00679	PF03764	88
PF04990	PF04561	88
PF00613	PF00794	89
PF01058	PF14720	89
PF00890	PF13085	89
PF04561	PF01096	89
PF02910	PF13085	89
PF13085	PF02910	89
PF13085	PF00890	89
PF01096	PF04561	89
PF01193	PF13656	90
PF01193	PF03870	90
PF01193	PF05000	90
PF01246	PF00238	90
PF05000	PF04561	90
PF05000	PF01193	90
PF01191	PF04992	90
PF02150	PF04561	90
PF02150	PF04990	90
PF04561	PF02150	90
PF04561	PF05000	90
PF04992	PF04998	90
PF04992	PF04983	90
PF04992	PF01191	90
PF04992	PF01192	90
PF13656	PF01193	90
PF01192	PF04992	90
PF04998	PF04990	90
PF04998	PF04992	90
PF00689	PF00122	90
PF00122	PF00689	90
PF03870	PF01193	90
PF01215	PF02046	90
PF04983	PF04992	90
PF04990	PF04998	90
PF04990	PF02150	90
PF00238	PF01246	90
PF04566	PF01096	91
PF01096	PF04566	91
PF08544	PF00288	92
PF04566	PF04561	92
PF04561	PF04566	92
PF04561	PF04567	92
PF13656	PF03870	92
PF04567	PF04561	92
PF00679	PF00009	92
PF03870	PF13656	92
PF00009	PF00679	92
PF00288	PF08544	92
PF00510	PF02046	93
PF14693	PF00252	93
PF00252	PF14693	93
PF00613	PF00792	94
PF05000	PF03870	94
PF04998	PF03871	94
PF03870	PF05000	94
PF00792	PF00613	94
PF01820	PF07478	94
PF07478	PF01820	94
PF03871	PF04998	94
PF07521	PF00753	95
PF05000	PF04566	95
PF04566	PF05000	95
PF00454	PF00794	95
PF00753	PF07521	95
PF01193	PF01194	96
PF01194	PF01193	96
PF02773	PF00438	96
PF07575	PF00400	96
PF01191	PF03871	96
PF00400	PF07575	96
PF00438	PF02773	96
PF03871	PF01191	96
PF13656	PF01000	97
PF13450	PF03275	97
PF03446	PF14833	97
PF01000	PF13656	97
PF14833	PF03446	97
PF02769	PF00586	98
PF03870	PF04983	98
PF04983	PF03870	98
PF00586	PF02769	98
PF01194	PF04563	99
PF05000	PF01096	99
PF00069	PF08515	99
PF04563	PF01194	99
PF13365	PF00595	99
PF01096	PF05000	99
PF00595	PF13365	99
PF03604	PF01000	100
PF13410	PF13417	100
PF13656	PF04983	100
PF13656	PF00623	100
PF13656	PF00562	100
PF01000	PF03604	100
PF01233	PF02799	100
PF13417	PF13410	100
PF04983	PF13656	100
PF00623	PF13656	100
PF00562	PF13656	100
PF02799	PF01233	100
PF03604	PF04563	101
PF00166	PF00118	101
PF00128	PF02903	101
PF00115	PF02046	101
PF00032	PF13631	101
PF00118	PF00166	101
PF04563	PF03604	101
PF08545	PF08541	102
PF04565	PF04567	102
PF04567	PF04565	102
PF08541	PF08545	102
PF02779	PF00456	103
PF02737	PF00725	103
PF01783	PF00453	103
PF00453	PF01783	103
PF00725	PF02737	103
PF00456	PF02779	103
PF02738	PF00941	104
PF00941	PF02738	104
PF04566	PF04565	105
PF04565	PF04566	105
PF05000	PF04567	106
PF04567	PF04998	106
PF04567	PF05000	106
PF04567	PF00562	106
PF04998	PF04567	106
PF00562	PF04567	106
PF00433	PF00069	107
PF00281	PF01197	107
PF14693	PF01386	107
PF00069	PF00433	107
PF01197	PF00281	107
PF01386	PF14693	107
PF01154	PF08540	108
PF08540	PF01154	108
PF01194	PF00562	109
PF01194	PF01000	109
PF03604	PF00562	109
PF04566	PF04567	109
PF04567	PF04566	109
PF01000	PF01194	109
PF03450	PF00941	109
PF01799	PF00941	109
PF01315	PF00941	109
PF00562	PF01194	109
PF00562	PF03604	109
PF00941	PF00111	109
PF00941	PF03450	109
PF00941	PF01799	109
PF00941	PF01315	109
PF00111	PF00941	109
PF01193	PF04983	110
PF00421	PF00124	110
PF04983	PF01193	110
PF00124	PF00421	110
PF01197	PF00673	111
PF00673	PF01197	111
PF00132	PF14602	112
PF02913	PF01565	112
PF01565	PF02913	112
PF00271	PF00270	113
PF00122	PF00702	113
PF00702	PF00122	113
PF00270	PF00271	113
PF00613	PF00454	114
PF01488	PF08501	114
PF00454	PF00613	114
PF00115	PF00116	114
PF08501	PF01488	114
PF00116	PF00115	114
PF01058	PF00374	115
PF02738	PF03450	115
PF00355	PF11723	115
PF03450	PF02738	115
PF01799	PF00111	115
PF00111	PF01799	115
PF00696	PF01842	116
PF00004	PF07724	116
PF01842	PF00696	116
PF07724	PF00004	116
PF02738	PF00111	117
PF00111	PF02738	117
PF00984	PF03720	118
PF00400	PF00631	118
PF00631	PF00400	118
PF03720	PF00984	118
PF00883	PF02789	118
PF02789	PF00883	118
PF00022	PF00063	118
PF05239	PF03967	118
PF00063	PF00022	118
PF00027	PF13545	118
PF02727	PF02728	119
PF00009	PF03143	119
PF02729	PF02748	119
PF01799	PF01315	119
PF01315	PF01799	119
PF02728	PF02727	119
PF03143	PF00009	119
PF00890	PF02910	120
PF02910	PF00890	120
PF03144	PF03143	120
PF03143	PF03144	120
PF01191	PF04998	121
PF04998	PF01191	121
PF00501	PF13193	122
PF13193	PF00501	122
PF01281	PF00830	122
PF00349	PF03727	122
PF03727	PF00349	122
PF00830	PF01281	122
PF00390	PF03949	124
PF01783	PF01196	124
PF03949	PF00390	124
PF01196	PF01783	124
PF02129	PF08530	126
PF01055	PF13802	127
PF13802	PF01055	127
PF00059	PF09006	128
PF03129	PF00587	129
PF00587	PF03129	129
PF00043	PF13417	130
PF00448	PF02881	130
PF02727	PF01179	130
PF13417	PF00043	130
PF14716	PF14791	130
PF14791	PF14716	130
PF02881	PF00448	130
PF01179	PF02727	130
PF00069	PF02827	131
PF02885	PF00591	132
PF00591	PF02885	132
PF04561	PF04565	134
PF04565	PF04561	134
PF01783	PF00237	138
PF00237	PF01783	138
PF00303	PF00186	140
PF00186	PF00303	140
PF14698	PF00206	143
PF00206	PF14698	143
PF07687	PF01546	145
PF01546	PF07687	145
PF01336	PF00152	147
PF00333	PF00163	147
PF04561	PF04563	147
PF00163	PF00333	147
PF04563	PF04561	147
PF00152	PF01336	147
PF01193	PF00562	148
PF00562	PF01193	148
PF00384	PF01568	149
PF04997	PF00623	149
PF00623	PF04997	149
PF00370	PF02782	150
PF02782	PF00370	150
PF05000	PF04565	151
PF04565	PF05000	151
PF03946	PF00298	152
PF00298	PF03946	152
PF02867	PF00317	153
PF01192	PF04560	153
PF00317	PF02867	153
PF04560	PF01192	153
PF04565	PF04998	154
PF04998	PF04565	154
PF00562	PF04563	154
PF04563	PF00562	154
PF00063	PF02736	154
PF02736	PF00063	154
PF04560	PF04983	156
PF04983	PF04560	156
PF00828	PF00829	157
PF08436	PF13288	157
PF13288	PF08436	157
PF00829	PF00828	157
PF05000	PF00562	158
PF04565	PF00562	158
PF01192	PF00623	158
PF04983	PF00623	158
PF00623	PF01192	158
PF00623	PF04983	158
PF01315	PF00111	158
PF00562	PF04565	158
PF00562	PF05000	158
PF00111	PF01315	158
PF04565	PF04563	159
PF04563	PF04565	159
PF05000	PF04983	160
PF01000	PF00562	160
PF04998	PF00562	160
PF04983	PF05000	160
PF00562	PF04998	160
PF00562	PF01000	160
PF04560	PF00562	161
PF00562	PF04560	161
PF04983	PF00562	162
PF00562	PF04983	162
PF04560	PF00623	163
PF00623	PF00562	163
PF00623	PF04560	163
PF00562	PF00623	163
